date,temp_max,temp_min,umid_max,umid_min,solar_total,gust_max,gust_dir,prec,dewpoint,heat_index,wind_chill,n_hours,temp_mean,umid_mean,ws_mean,solar_mean
2016-06-23,,,,,,,,,,,,8.0,15.9025,94.55375000000001,4.0,
2016-06-24,22.03,13.2,100.0,65.17,,4.0,,0.0,13.34,13.85,13.85,24.0,15.048333333333332,90.35791666666667,4.0,
2016-06-25,19.15,13.28,100.0,65.66,,4.0,,0.0,13.5,13.67,13.67,24.0,14.89,91.51125,4.0,
2016-06-26,21.34,10.57,100.0,65.3,,4.0,,0.0,11.31,11.31,11.31,24.0,15.18,95.05541666666666,4.0,
2016-06-27,20.3,11.08,100.0,72.3,,4.0,,0.0,14.39,14.39,14.39,24.0,16.655,89.36083333333333,4.0,
2016-06-28,23.14,11.27,100.0,59.85,,4.0,,0.0,12.1,12.1,12.1,24.0,14.18875,98.00416666666666,4.0,
2016-06-29,19.59,12.11,100.0,81.6,,4.0,,0.0,14.38,14.38,14.38,24.0,15.202083333333334,95.41000000000001,4.0,
2016-06-30,21.05,13.28,100.0,73.61,,4.0,,0.0,13.88,13.88,13.88,24.0,14.78875,96.8125,4.0,
2016-07-01,16.48,13.63,100.0,90.0,,4.0,,0.0,14.85,15.07,15.07,24.0,15.235416666666666,95.97500000000001,4.0,
2016-07-02,16.33,14.57,99.8,90.6,,4.0,,0.0,14.15,14.61,14.61,24.0,14.733333333333334,97.35000000000001,4.0,
2016-07-03,17.1,13.3,100.0,89.9,,4.0,,0.0,14.38,14.38,14.38,24.0,14.97875,98.27916666666665,4.0,
2016-07-04,16.97,13.64,100.0,92.3,,4.0,,0.0,15.13,15.13,15.13,24.0,15.418333333333335,98.17083333333333,4.0,
2016-07-05,16.83,14.51,100.0,92.6,,4.0,,0.0,15.2,15.2,15.2,24.0,16.111250000000002,97.51666666666667,4.0,
2016-07-06,21.69,14.08,100.0,80.7,,4.0,,0.0,15.96,15.96,15.96,24.0,18.36625,75.17875,4.0,
2016-07-07,24.43,14.32,100.0,39.38,,4.0,,0.229,6.092,17.75,17.75,24.0,15.358333333333334,66.61708333333333,4.0,
2016-07-08,22.95,8.7,98.9,36.37,,4.0,,0.0,8.86,9.09,4.184,24.0,12.294166666666667,85.52083333333333,4.0,
2016-07-09,21.04,4.492,100.0,48.47,,4.0,,0.0,9.42,9.42,4.624,24.0,13.75,89.69416666666666,4.0,
2016-07-10,21.87,8.21,100.0,57.65,,4.0,,0.0,14.17,14.41,14.41,24.0,16.941666666666666,87.89625,4.0,
2016-07-11,26.2,10.82,100.0,56.53,,4.0,,0.0,15.49,15.63,15.63,24.0,16.9375,93.61083333333333,4.0,
2016-07-12,24.13,15.37,99.5,72.15,,4.0,,0.0,15.76,16.4,16.4,24.0,19.264166666666664,88.76125,4.0,
2016-07-13,28.46,14.3,100.0,61.89,,4.0,,0.0,16.77,17.58,17.58,24.0,17.05,94.4375,4.0,
2016-07-14,19.43,15.46,100.0,82.1,,4.0,,7.087,16.12,16.12,16.12,24.0,17.31083333333333,97.83749999999999,4.0,
2016-07-15,19.93,15.72,100.0,88.3,,4.0,,5.969,17.37,17.37,17.37,24.0,19.385833333333334,93.25,4.0,
2016-07-16,24.7,16.43,100.0,78.99,,4.0,,6.7059999999999995,16.33,16.46,16.46,24.0,16.485416666666666,82.26208333333334,4.0,
2016-07-17,20.96,13.18,100.0,48.97,,4.0,,46.18,6.067,13.18,13.18,24.0,12.6875,57.84916666666667,4.0,
2016-07-18,18.53,5.886,95.3,35.14,,4.0,,0.0,5.013,5.966,-0.091,24.0,9.509083333333333,83.11833333333333,4.0,
2016-07-19,17.86,2.512,100.0,45.69,,4.0,,0.0,9.16,9.6,4.873,24.0,12.425416666666665,89.28041666666667,4.0,
2016-07-20,17.93,9.15,98.9,66.26,,4.0,,0.0,11.65,12.41,12.41,24.0,12.69625,92.77499999999999,4.0,
2016-07-21,14.86,11.27,99.2,82.3,,4.0,,0.0,11.4,11.56,11.56,24.0,12.960416666666667,92.16041666666666,4.0,
2016-07-22,15.92,11.03,99.4,75.58,,4.0,,0.0,11.89,12.32,12.32,24.0,14.318333333333333,88.56958333333334,4.0,
2016-07-23,18.37,11.25,99.4,68.95,,4.0,,0.0,11.29,11.37,11.37,24.0,13.583333333333334,89.43208333333332,4.0,
2016-07-24,21.19,9.32,100.0,59.12,,4.0,,0.0,10.14,10.14,10.14,24.0,15.308749999999998,90.97458333333333,4.0,
2016-07-25,26.71,8.57,100.0,58.67,,4.0,,0.0,13.28,13.27,13.27,24.0,15.82625,90.03208333333333,4.0,
2016-07-26,23.72,9.82,100.0,60.75,,4.0,,0.0,15.36,15.36,15.36,24.0,17.880416666666665,91.52375,4.0,
2016-07-27,27.25,15.07,100.0,47.06,,4.0,,0.0,16.18,16.92,16.92,24.0,17.55,64.96208333333333,4.0,
2016-07-28,23.09,10.01,100.0,29.78,,4.0,,0.0,11.73,12.38,12.38,24.0,13.887500000000001,89.32208333333334,4.0,
2016-07-29,17.45,12.27,99.6,70.84,,4.0,,0.686,12.54,12.61,12.61,24.0,12.580416666666666,97.8,4.0,
2016-07-30,13.51,11.33,100.0,92.7,,4.0,,0.686,13.17,13.17,13.17,24.0,16.29625,90.02916666666665,4.0,
2016-07-31,22.51,12.9,100.0,65.87,,4.0,,0.0,15.06,15.42,15.42,24.0,18.281666666666666,88.33958333333334,4.0,
2016-08-01,24.97,15.16,100.0,61.68,,4.0,,0.0,16.11,16.11,16.11,24.0,20.285416666666666,86.13833333333334,4.0,
2016-08-02,31.22,15.92,100.0,47.59,,4.0,,0.0,16.29,17.21,17.21,24.0,15.41625,96.67916666666667,4.0,
2016-08-03,17.22,13.75,99.9,89.9,,4.0,,5.029,13.72,13.81,13.81,24.0,15.13125,97.32083333333333,4.0,
2016-08-04,19.28,13.46,100.0,82.8,,4.0,,10.52,15.3,15.3,15.3,24.0,17.109166666666667,97.69166666666666,4.0,
2016-08-05,21.63,15.24,100.0,81.6,,4.0,,2.972,17.36,17.36,17.36,24.0,18.357499999999998,93.23375,4.0,
2016-08-06,22.38,14.45,100.0,73.22,,4.0,,0.0,14.45,14.45,14.45,24.0,18.84541666666667,92.29666666666667,4.0,
2016-08-07,28.12,14.39,100.0,68.48,,4.0,,0.0,15.76,16.64,16.64,24.0,15.827916666666667,94.57916666666667,4.0,
2016-08-08,17.5,13.02,98.9,85.2,,4.0,,5.029,12.08,13.06,13.06,24.0,12.050833333333335,98.79166666666667,4.0,
2016-08-09,13.18,11.45,100.0,93.3,,4.0,,17.14,12.1,12.1,12.1,24.0,14.714166666666666,94.37833333333333,4.0,
2016-08-10,22.24,12.01,100.0,70.58,,4.0,,1.143,14.69,14.69,14.69,24.0,14.8125,84.77208333333333,4.0,
2016-08-11,21.5,9.86,100.0,39.03,,4.0,,0.0,9.86,9.86,5.231,24.0,13.222125,84.51208333333334,4.0,
2016-08-12,22.55,6.743,100.0,46.77,,4.0,,0.0,9.96,9.96,5.368,24.0,13.440208333333333,85.42375,4.0,
2016-08-13,22.65,6.602,100.0,48.01,,4.0,,0.0,9.88,9.88,5.258,24.0,13.884333333333332,88.2075,4.0,
2016-08-14,23.44,7.5,100.0,55.42,,4.0,,0.0,11.94,11.94,11.94,24.0,16.510833333333334,85.46125,4.0,
2016-08-15,27.48,10.57,100.0,38.47,,4.0,,0.0,13.18,13.46,13.46,24.0,16.215,91.97375,4.0,
2016-08-16,21.47,12.58,100.0,63.46,,4.0,,8.92,13.57,13.57,13.57,24.0,17.846666666666668,86.62958333333334,4.0,
