date,code,station,temp,umid,ws,wd,prec
2020-10-14 13:00:00,aeroporto,Aeroporto SBJV,24.0,73.61,3.08448815377738,100.0,
2020-10-14 14:00:00,aeroporto,Aeroporto SBJV,24.0,73.61,3.08448815377738,90.0,
2020-10-14 15:00:00,aeroporto,Aeroporto SBJV,23.0,73.44,2.57040679481448,60.0,
2020-10-14 16:00:00,aeroporto,Aeroporto SBJV,23.0,78.19,1.54224407688869,60.0,
2020-10-14 17:00:00,aeroporto,Aeroporto SBJV,22.0,83.09,2.05632543585159,90.0,
2020-10-14 18:00:00,aeroporto,Aeroporto SBJV,22.0,83.09,1.02816271792579,70.0,
2020-10-14 19:00:00,aeroporto,Aeroporto SBJV,21.0,88.34,3.08448815377738,120.0,
2020-10-14 20:00:00,aeroporto,Aeroporto SBJV,21.0,88.34,3.08448815377738,150.0,
2020-10-14 21:00:00,aeroporto,Aeroporto SBJV,20.0,88.26,2.57040679481448,160.0,
2020-10-14 22:00:00,aeroporto,Aeroporto SBJV,20.0,88.26,3.08448815377738,150.0,
2020-10-14 23:00:00,aeroporto,Aeroporto SBJV,20.0,88.26,1.54224407688869,160.0,
2020-10-15 00:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-15 01:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-15 02:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-15 03:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-15 04:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-15 05:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-15 06:00:00,aeroporto,Aeroporto SBJV,19.0,88.18,2.57040679481448,150.0,
2020-10-15 07:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-15 08:00:00,aeroporto,Aeroporto SBJV,19.0,93.92,1.54224407688869,260.0,
2020-10-15 09:00:00,aeroporto,Aeroporto SBJV,19.0,93.92,1.54224407688869,320.0,
2020-10-15 10:00:00,aeroporto,Aeroporto SBJV,18.0,100.0,1.54224407688869,310.0,
2020-10-15 11:00:00,aeroporto,Aeroporto SBJV,19.0,93.92,1.54224407688869,140.0,
2020-10-15 12:00:00,aeroporto,Aeroporto SBJV,18.0,100.0,2.57040679481448,130.0,
2020-10-15 13:00:00,aeroporto,Aeroporto SBJV,19.0,93.92,0.514081358962897,180.0,
2020-10-15 14:00:00,aeroporto,Aeroporto SBJV,21.0,73.09,1.02816271792579,120.0,
2020-10-15 15:00:00,aeroporto,Aeroporto SBJV,22.0,78.04,2.57040679481448,300.0,
2020-10-15 16:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-15 17:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-15 18:00:00,aeroporto,Aeroporto SBJV,20.0,82.86,2.05632543585159,100.0,
2020-10-15 19:00:00,aeroporto,Aeroporto SBJV,19.0,88.18,1.02816271792579,190.0,
2020-10-15 20:00:00,aeroporto,Aeroporto SBJV,19.0,93.92,1.54224407688869,190.0,
2020-10-15 21:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-15 22:00:00,aeroporto,Aeroporto SBJV,19.0,88.18,1.02816271792579,190.0,
2020-10-15 23:00:00,aeroporto,Aeroporto SBJV,18.0,93.88,0.514081358962897,330.0,
2020-10-16 00:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-16 01:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-16 02:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-16 03:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-16 04:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-16 05:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-16 06:00:00,aeroporto,Aeroporto SBJV,17.0,100.0,0.514081358962897,320.0,
2020-10-16 07:00:00,aeroporto,Aeroporto SBJV,18.0,93.88,0.0,0.0,
2020-10-16 08:00:00,aeroporto,Aeroporto SBJV,20.0,82.86,1.02816271792579,170.0,
2020-10-16 09:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-16 10:00:00,aeroporto,Aeroporto SBJV,23.0,64.69,3.59856951274028,180.0,
2020-10-16 11:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-16 12:00:00,aeroporto,Aeroporto SBJV,24.0,60.9,6.16897630755476,130.0,
2020-10-16 13:00:00,aeroporto,Aeroporto SBJV,24.0,60.9,6.68305766651766,130.0,
2020-10-16 14:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-16 15:00:00,aeroporto,Aeroporto SBJV,24.0,57.12,7.19713902548055,130.0,
2020-10-16 16:00:00,aeroporto,Aeroporto SBJV,23.0,68.94,6.68305766651766,130.0,
2020-10-16 17:00:00,aeroporto,Aeroporto SBJV,23.0,64.69,5.65489494859186,110.0,
2020-10-16 18:00:00,aeroporto,Aeroporto SBJV,21.0,73.09,4.11265087170317,110.0,
2020-10-16 19:00:00,aeroporto,Aeroporto SBJV,20.0,77.75,4.11265087170317,120.0,
2020-10-16 20:00:00,aeroporto,Aeroporto SBJV,19.0,82.74,1.54224407688869,100.0,
2020-10-16 21:00:00,aeroporto,Aeroporto SBJV,17.0,93.83,1.02816271792579,160.0,
2020-10-16 22:00:00,aeroporto,Aeroporto SBJV,18.0,93.88,0.514081358962897,330.0,
2020-10-16 23:00:00,aeroporto,Aeroporto SBJV,17.0,100.0,1.54224407688869,300.0,
2020-10-17 00:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-17 01:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-17 02:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-17 03:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-17 04:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-17 05:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-17 06:00:00,aeroporto,Aeroporto SBJV,13.0,100.0,1.02816271792579,290.0,
2020-10-17 07:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-17 08:00:00,aeroporto,Aeroporto SBJV,19.0,88.18,1.02816271792579,20.0,
2020-10-17 09:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-17 10:00:00,aeroporto,Aeroporto SBJV,21.0,68.55,2.05632543585159,60.0,
2020-10-17 11:00:00,aeroporto,Aeroporto SBJV,23.0,56.88,3.08448815377738,100.0,
2020-10-17 12:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-17 13:00:00,aeroporto,Aeroporto SBJV,23.0,64.69,3.08448815377738,110.0,
2020-10-17 14:00:00,aeroporto,Aeroporto SBJV,23.0,64.69,4.62673223066607,120.0,
2020-10-17 15:00:00,aeroporto,Aeroporto SBJV,23.0,60.67,4.11265087170317,120.0,
2020-10-17 16:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-17 17:00:00,aeroporto,Aeroporto SBJV,22.0,68.75,5.65489494859186,130.0,
