date,gauge,rain_mm
2023-09-30,aventureiro,0.6000000000000001
2023-10-01,aventureiro,1.83
2023-10-02,aventureiro,0.2
2023-10-03,aventureiro,0.4
2023-10-04,aventureiro,0.6000000000000001
2023-10-05,aventureiro,24.91
2023-10-06,aventureiro,4.4
2023-10-07,aventureiro,4.2
2023-10-08,aventureiro,0.6000000000000001
2023-10-09,aventureiro,0.4
2023-10-10,aventureiro,1.4000000000000001
2023-10-11,aventureiro,0.8
2023-10-12,aventureiro,1.0
2023-10-13,aventureiro,0.8
2023-10-14,aventureiro,0.6000000000000001
2023-10-15,aventureiro,0.6000000000000001
2023-10-16,aventureiro,0.8
2023-10-17,aventureiro,1.2000000000000002
2023-10-18,aventureiro,0.6000000000000001
